accession	classification	n_coord_his	af3_cu1_assignment	af3_cu1_dist_canonical	af3_cu1_plddt	af3_cu2_assignment	af3_cu2_dist_canonical	af3_cu2_plddt	af3_cu_cu_dist	m3d_n_cu_sites	m3d_n_total_sites	m3d_cu1_closest_cu_dist	m3d_cu1_closest_cu_prob	m3d_cu1_closest_any_dist	m3d_cu1_closest_any_element	m3d_cu2_closest_cu_dist	m3d_cu2_closest_cu_prob	m3d_cu2_closest_any_dist	m3d_cu2_closest_any_element	m3d_CuA_cu_dist	m3d_CuA_cu_prob	m3d_CuA_any_dist	m3d_CuA_any_element	m3d_CuB_cu_dist	m3d_CuB_cu_prob	m3d_CuB_any_dist	m3d_CuB_any_element
A0A8H5XW17	mononuclear	5	CuA	0.32	96.1	CuB	0.40	95.0	3.84	3	21	1.00	0.760	1.00	CU	1.15	0.610	1.15	CU								
A0A8H6A0W2	no_cu	2	CuB	0.95	59.6	neither		29.5	17.79	0	38			4.74	X			5.92	X								
A0A8H6ANQ1	mononuclear	4	CuA	0.38	87.2	CuB	0.58	66.5	3.73	2	16	0.30	0.980	0.30	CU	2.20	0.930	2.20	CU								
A0A8H6FIQ4	mononuclear	5	CuA	0.71	89.5	CuB	0.94	86.2	3.63	2	23	0.72	0.930	0.72	CU	0.65	0.800	0.65	CU								
A0A8H6HT48	mononuclear	4	CuB	2.22	87.4	CuA	2.87	52.4	3.19	3	26	0.57	0.350	0.57	CU	3.64	0.350	3.64	CU								
A0A8H6JVW5	no_cu	4	CuB	0.63	94.1	CuA	0.55	88.1	4.03	0	17			12.52	NA			12.73	NA								
A0A8H6L0G3	mononuclear	5	CuA	0.61	94.1	CuB	0.79	91.7	3.66	1	17	0.36	0.960	0.36	CU	3.92	0.960	3.92	CU								
A0A8H6MKC6	no_cu	4	CuB	0.70	94.0	CuA	0.46	89.1	3.92	3	22	0.61	0.690	0.61	CU	0.51	0.510	0.51	CU								
A0A8H6MX70	mononuclear	5	CuA	0.47	97.6	CuB	0.60	96.1	4.04	4	22	0.40	0.990	0.40	CU	1.05	0.730	1.05	CU								
A0A8H6N7U5	mononuclear	5	CuA	0.36	96.5	CuB	0.62	93.7	4.1	2	22	0.28	0.960	0.28	CU	1.03	0.570	1.03	CU								
A0A8H6S8I0	mononuclear	5	CuB	0.33	95.3	CuA	0.46	82.1	3.83	2	28	0.25	0.830	0.25	CU	0.43	0.620	0.43	CU								
A0A8H6YHY9	binuclear	5	CuB	0.18	90.6	CuA	0.80	83.8	4.03	3	42	0.50	0.920	0.50	CU	0.46	0.960	0.46	CU								
A0A8H7BB98	mononuclear	5	CuA	0.65	93.2	CuB	0.81	91.9	3.74	2	37	0.30	0.850	0.30	CU	0.32	0.880	0.32	CU								
A0A8H7CJP5	binuclear	5	CuA	0.37	90.8	CuB	0.76	85.2	3.44	3	26	0.67	0.980	0.67	CU	1.27	0.800	1.27	CU								
A0A8H7H065	mononuclear	4	CuB	1.98	93.1	CuA	1.60	59.2	5.36	3	58	0.54	0.830	0.54	CU	4.29	0.670	0.31	X								
A0A8H7H0A0	no_cu	3	CuA	0.77	92.7	neither		50.3	24.33	3	20	0.50	0.510	0.50	CU	24.13	0.520	1.21	ZN								
A0A8H7HFI3	mononuclear	4	CuB	0.38	90.3	CuA	0.96	66.3	4.09	5	22	0.55	0.980	0.55	CU	1.05	0.540	1.05	CU								
A0A8H7I333	no_cu	3	CuA	0.89	91.0	CuB	0.76	72.1	3.97	1	20	0.41	0.700	0.41	CU	3.57	0.700	1.12	X								
A0A8H7IC95	mononuclear	5	CuB	0.43	90.5	CuA	0.60	64.4	4.12	4	15	0.55	0.970	0.55	CU	1.33	0.140	1.33	CU								
A0A8H7K265	binuclear	5	CuB	0.57	96.1	CuA	0.54	94.5	3.92	1	21	1.42	0.130	1.42	CU	4.03	0.130	4.03	CU								
A0A8H7LYZ4	mononuclear	5	CuB	0.32	92.1	CuA	0.99	69.2	4.0	6	27	1.01	0.990	1.01	CU	2.10	0.780	2.10	CU								
A0A8H7M1F4	mononuclear	4	CuB	0.34	91.6	CuA	1.81	60.0	5.41	4	52	0.61	0.880	0.61	CU	2.99	0.870	0.49	X								
A0A8H7MHY0	mononuclear	5	CuA	0.53	93.8	CuB	0.80	93.0	4.78	4	27	0.31	0.960	0.31	CU	1.20	0.750	1.20	CU								
A0A8H7W0M8	mononuclear	5	CuA	0.65	95.8	CuB	0.26	93.7	4.21	2	16	0.62	0.980	0.62	CU	0.39	0.460	0.39	CU								
A0A8H7Y763	mononuclear	4	CuA	0.72	94.7	CuB	0.26	88.4	3.92	2	18	1.87	0.380	1.87	CU	0.43	0.410	0.43	CU								
A0A8H8P4P0	no_cu	3	CuA	0.72	92.4	CuB	0.54	73.1	3.68	3	19	0.34	0.550	0.34	CU	1.39	0.340	1.39	CU								
A0A8H8RL10	mononuclear	5	CuA	0.83	95.8	CuB	0.83	94.3	3.8	3	18	0.22	0.890	0.22	CU	0.19	0.740	0.19	CU								
A0A8H8RRA0	mononuclear	5	CuB	1.11	90.1	CuA	0.87	61.7	4.67	3	25	0.27	0.370	0.27	CU	1.23	0.470	1.23	CU								
A0A8H8U2D2	mononuclear	5	CuA	0.71	94.2	CuB	0.94	92.7	3.56	3	20	0.70	0.890	0.70	CU	0.87	0.690	0.87	CU								
A0A8H9LF69	no_cu	2	CuA	1.51	94.2	neither		79.4	30.38	0	13			1.41	X			5.27	X								
A0A8J1TDZ8	no_cu	1	neither		49.7	neither		15.8	20.36	2	68									2.46	0.390	2.46	CU	2.30	0.390	2.30	CU
A0A8J4W827	no_cu	0	neither		77.6	neither		54.4	19.95	0	33											5.47	X			4.91	X
A0A8J5IZX1	no_cu	1	neither		72.8	neither		55.5	40.96	0	34											4.53	X			3.09	X
A0A8J5M7S4	mononuclear	4	CuB	0.47	97.5	neither		72.1	21.66	1	31	0.32	0.860	0.32	CU	21.64	0.860	14.21	X	4.02	0.980	3.92	X	0.79	0.980	0.79	CU
A0A8J5XMZ9	no_cu	1	neither		89.4	neither		68.0	30.44	0	30											10.32	ZN			12.43	X
A0A8J7L7N4	binuclear	5	CuB	0.62	96.7	CuA	0.94	93.3	4.34	3	34	1.89	0.270	1.89	CU	0.73	0.870	0.73	CU								
A0A8J9R8H5	mononuclear	5	CuA	0.45	94.6	CuB	0.59	94.0	4.18	2	28	0.31	0.990	0.31	CU	0.82	0.630	0.82	CU								
A0A8K0IA90	no_cu	2	CuB	1.03	52.7	neither		13.9	11.04	0	45			0.46	X			4.78	ZN								
A0A8K0R3D6	mononuclear	5	CuA	0.44	95.2	CuB	0.63	94.3	3.67	2	19	1.42	0.840	1.42	CU	2.66	0.780	2.66	CU								
A0A8K0SEI0	mononuclear	4	CuB	0.78	95.2	neither		75.6	23.69	1	19	0.43	0.580	0.43	CU	23.99	0.580	10.31	X								
A0A8K0T8Y5	mononuclear	5	CuA	0.48	96.0	CuB	0.21	91.3	4.14	2	21	0.60	0.980	0.60	CU	0.90	0.700	0.90	CU								
A0A8N5I073	mononuclear	4	CuA	0.57	90.8	CuB	0.97	55.6	4.21	2	24	0.82	0.760	0.82	CU	3.52	0.550	3.52	CU								
A0A8R1TKI8	mononuclear	5	CuA	0.32	95.3	CuB	0.99	90.0	3.56	1	63	2.37	0.320	2.37	CU	1.46	0.320	1.46	CU								
A0A8S3QCE6	no_cu	3	CuB	0.72	87.4	CuA	1.10	69.0	3.83	1	20	1.24	0.360	1.24	CU	2.63	0.360	2.63	CU								
A0A8S3RVL9	no_cu	2	neither		77.8	neither		62.7	40.82	0	27											10.03	X			8.89	X
A0A8S3S028	no_cu	2	CuA	0.85	58.2	neither		23.9	25.94	2	70	0.79	0.360	0.79	CU	25.16	0.370	0.55	X								
A0A8S3S1J4	no_cu	2	CuA	0.76	64.0	neither		25.5	32.53	1	59	2.61	0.330	2.61	CU	33.10	0.330	3.19	X								
A0A8S3THZ3	mononuclear	4	CuB	0.54	91.7	neither		33.5	29.13	3	40	0.50	0.920	0.50	CU	28.73	0.920	3.35	X	2.75	0.910	2.75	CU	1.09	0.960	1.09	CU
A0A8T1MS49	mononuclear	5	CuA	0.14	96.1	CuB	1.35	82.7	5.07	2	27	0.56	0.990	0.56	CU	2.31	0.880	2.31	CU								
A0A8T1U1C5	mononuclear	5	CuA	1.98	73.2	CuB	3.83	40.2	5.77																		
A0A8T1W4C6	mononuclear	4	CuB	0.45	96.5	neither		67.6	21.95	1	35	0.63	0.960	0.63	CU	21.89	0.960	10.46	X	4.57	0.930	4.57	CU	0.94	0.930	0.94	CU
A0A8T1W6M6	no_cu	0	neither		67.3	neither		58.8	31.51	0	39											5.60	X			4.51	X
A0A8T1WU85	no_cu	1	neither		72.0	neither		60.4	17.52	0	26											4.89	X			3.52	X
A0A8T9AZC4	mononuclear	5	CuA	0.60	95.0	CuB	0.73	89.6	3.75	3	21	0.59	0.980	0.59	CU	1.88	0.950	1.88	CU								
A0A8U0BYH4	no_cu	2	CuB	2.02	78.8	neither		52.1	30.61	0	23			4.36	X			0.55	X								
A0A8U0BYU8	no_cu	2	neither		67.0	neither		57.5	34.61	0	24											8.03	X			8.39	X
A0A8U0BZ64	no_cu	1	neither		66.5	CuB	0.38	32.9	24.04	0	52			15.42	X			8.72	X								
A0A8U0BZL2	no_cu	1	neither		59.2	neither		56.2	37.04	0	25											12.00	X			8.36	X
A0A8U0C0J3	no_cu	2	neither		72.5	neither		58.8	35.0	0	25											3.24	X			1.26	X
A0A8W8J4S3	no_cu	3	CuB	0.42	82.6	neither		50.2	16.0	2	31	1.24	0.410	1.24	CU	14.73	0.380	2.49	X								
A0A8X6KWP2	no_cu	2	neither		55.8	neither		49.4	26.43	0	29											3.53	ZN			1.26	ZN
A0A8X7N2K2	binuclear	5	CuB	0.62	92.2	CuA	0.67	81.0	3.88	2	23	0.42	0.990	0.42	CU	0.42	0.590	0.42	CU								
A0A913XYY6	mononuclear	2	CuA	1.03	72.2	neither		46.9	27.1	0	12			1.38	X			14.94	X			2.75	X			1.57	X
A0A914DIV0	mononuclear	5	CuB	0.52	90.9	CuA	0.31	80.8	4.1	2	33	0.45	0.960	0.45	CU	0.97	0.540	0.97	CU								
A0A914L211	binuclear	5	CuB	0.94	66.1	CuA	0.46	69.7	4.59	3	34	1.14	0.710	1.14	CU	0.25	0.920	0.25	CU								
A0A914L5B1	mononuclear	4	CuB	0.53	87.1	CuA	0.80	60.8	4.86	0	20			4.90	X			6.38	X								
A0A914S644	mononuclear	3	CuA	1.22	72.5	CuB	0.89	62.0	4.85	1	25	26.97	0.230	3.38	X	29.01	0.230	2.59	X								
A0A914V8X7	mononuclear	3	CuB	1.32	70.8	CuA	4.32	41.1	3.29	1	13	1.45	0.680	1.45	CU	3.68	0.680	3.68	CU								
A0A914VGJ7	no_cu	1	neither		75.8	neither		51.2	27.77	0	20			2.80	X			14.47	X								
A0A914XEE1	no_cu	1	neither		75.8	neither		70.7	35.53	0	22			0.70	X			0.44	X								
A0A915AZH0	mononuclear	5	CuA	0.37	96.0	CuB	0.84	87.0	3.67	1	49	0.80	0.960	0.80	CU	2.91	0.960	2.91	CU								
A0A915C5Q4	mononuclear	3	CuA	0.74	81.1	CuB	0.79	70.0	4.05	0	47			2.93	X			1.84	X								
A0A915C6W5	mononuclear	3	CuA	0.72	80.3	CuB	0.67	69.0	3.97	0	44			6.93	X			6.61	X								
A0A915JK17	no_cu	4	CuB	0.91	89.3	neither		50.9	17.14	1	24	0.34	0.670	0.34	CU	16.88	0.670	6.71	X								
A0A915M8S0	binuclear	5	CuA	0.40	92.8	CuB	0.56	81.2	4.64	2	19	0.39	0.990	0.39	CU	3.01	0.980	3.01	CU								
A0A917QDB2	binuclear	5	CuB	0.33	97.2	CuA	0.48	95.1	4.01	2	23	0.64	0.910	0.64	CU	0.82	0.950	0.82	CU								
A0A918SV45	mononuclear	5	CuB	0.35	97.7	CuA	0.88	94.2	4.43	2	23	0.38	0.980	0.38	CU	1.58	0.570	1.58	CU								
A0A918T1K9	mononuclear	5	CuB	0.20	96.5	CuA	0.89	85.3	4.6	2	30	0.26	0.990	0.26	CU	1.28	0.840	1.28	CU								
A0A918W4Y4	mononuclear	5	CuB	0.24	97.4	CuA	0.53	89.5	4.22	2	19	0.33	0.960	0.33	CU	0.61	0.940	0.61	CU								
A0A918Z2Y2	mononuclear	5	CuB	0.20	96.2	CuA	0.89	84.4	4.57	3	26	0.27	0.970	0.27	CU	0.57	0.970	0.57	CU								
A0A919DDV5	mononuclear	5	CuB	0.14	96.5	CuA	0.60	86.4	4.34	5	34	1.23	0.900	1.23	CU	1.05	0.850	1.05	CU								
A0A919RHA1	mononuclear	4	CuB	2.14	65.6	neither		62.7	4.22	2	19	0.79	0.380	0.79	CU	3.64	0.380	3.64	CU	3.20	0.460	3.20	CU	1.75	0.460	1.75	CU
A0A934SPS7	no_cu	2	CuB	0.80	97.6	neither		75.2	24.03	1	30	0.62	0.450	0.62	CU	24.57	0.450	2.02	X								
A0A976IE71	no_cu	1	neither		72.7	neither		54.9	18.99	0	38											5.45	X			3.72	X
A0A9D3URW0	mononuclear	4	CuB	0.74	85.0	CuA	0.64	53.9	3.6	2	21	1.28	0.700	1.28	CU	2.73	0.700	2.73	CU								
A0A9D4DVG4	mononuclear	5	CuB	0.10	94.2	CuA	1.26	68.2	4.21	2	34	0.64	0.870	0.64	CU	2.93	0.840	2.93	CU								
A0A9D4DW49	mononuclear	4	CuB	0.17	95.2	neither		60.2	22.1																		
A0A9D4EB14	mononuclear	3	CuA	0.99	81.8	neither		57.1	27.0	0	37			2.63	X			0.61	X			1.64	X			1.15	X
A0A9D4GX75	no_cu	4	CuB	0.39	93.8	CuA	0.73	70.5	4.75	2	25	0.26	0.540	0.26	CU	3.62	0.460	3.62	CU								
A0A9D4IDS9	mononuclear	5	CuB	0.10	94.1	CuA	1.11	69.8	4.11	1	34	0.27	0.970	0.27	CU	4.00	0.970	4.00	CU								
A0A9D4JUB0	no_cu	4	CuB	0.35	94.1	CuA	0.58	71.7	4.48	2	23	0.94	0.550	0.94	CU	2.97	0.530	2.97	CU								
A0A9D4V2I4	mononuclear	5	CuA	0.80	94.6	CuB	0.42	94.8	4.31	3	35	1.06	0.980	1.06	CU	0.27	0.630	0.27	CU								
A0A9D4Z585	mononuclear	5	CuA	0.86	95.7	CuB	0.56	95.6	3.84	2	18	1.58	0.790	1.58	CU	2.14	0.870	2.14	CU								
A0A9E7H3J2	binuclear	5	CuB	0.24	94.1	CuA	0.73	81.8	4.05	2	22	0.39	0.750	0.39	CU	0.49	0.930	0.49	CU								
A0A9J2Q8W3	no_cu	4	neither		82.9	neither		72.2	13.42																		
A0A9J7MSC3	no_cu	1	neither		67.3	neither		50.5	26.67	0	34											0.80	X			3.14	X
A0A9N8JDS5	binuclear	5	CuA	0.50	92.6	CuB	1.41	92.2	3.97	2	37	0.87	0.990	0.87	CU	0.92	0.870	0.92	CU								
A0A9N8KBE8	no_cu	2	neither		72.5	neither		61.5	25.98																		
A0A9N8PYA4	no_cu	1	neither		64.8	neither		79.3	31.19	0	32			6.57	X			0.79	X								
A0A9N9KL52	mononuclear	5	CuA	0.53	97.0	CuB	0.67	95.4	3.69	3	22	0.64	0.990	0.64	CU	0.46	0.980	0.46	CU								
A0A9N9LFQ9	binuclear	5	CuB	0.53	91.6	CuA	0.92	87.0	4.02	2	46	1.52	0.910	1.52	CU	0.38	0.940	0.38	CU								
A0A9N9LHE3	binuclear	5	CuB	0.30	95.9	CuA	0.96	88.0	4.26	2	35	0.44	0.900	0.44	CU	0.32	0.780	0.32	CU								
A0A9N9PT18	binuclear	5	CuB	0.28	97.3	CuA	0.50	93.6	4.03	2	21	0.24	0.990	0.24	CU	0.94	0.800	0.94	CU								
A0A9N9TUY4	mononuclear	4	CuB	0.26	90.1	CuA	2.37	46.3	5.78	2	51	0.56	0.780	0.56	CU	3.00	0.750	3.00	CU								
A0A9P4H2P0	binuclear	5	CuB	0.76	97.7	CuA	1.25	96.2	4.67	3	21	0.45	0.910	0.45	CU	0.22	0.910	0.22	CU								
A0A9P4IEM6	mononuclear	5	CuA	0.88	69.9	CuB	1.39	56.1	5.14	3	42	0.77	0.990	0.77	CU	4.44	0.980	4.44	CU								
A0A9P4JTW6	mononuclear	5	CuA	0.61	93.3	CuB	0.78	89.3	3.68	1	17	1.98	0.180	1.98	CU	1.92	0.180	1.92	CU								
A0A9P4NQG6	mononuclear	5	CuB	0.59	96.2	CuA	0.64	93.5	3.47	3	23	0.93	0.940	0.93	CU	2.46	0.920	2.46	CU								
A0A9P4PM19	binuclear	5	CuB	0.54	98.1	CuA	0.69	94.6	4.21	2	24	0.58	0.930	0.58	CU	0.95	0.630	0.95	CU								
A0A9P4PTR1	binuclear	5	CuB	0.25	95.7	CuA	0.92	93.5	4.01	3	32	0.50	0.930	0.50	CU	0.69	0.940	0.69	CU								
A0A9P4QMU1	mononuclear	5	CuA	0.55	96.5	CuB	0.55	90.7	3.98	4	25	0.61	0.940	0.61	CU	0.96	0.760	0.96	CU								
A0A9P4U804	mononuclear	5	CuA	0.46	93.8	CuB	0.44	86.0	4.01	2	25	0.14	0.950	0.14	CU	1.01	0.390	1.01	CU								
A0A9P4YYF2	mononuclear	5	CuB	0.29	85.1	CuA	0.58	45.2	4.35	1	25	1.11	0.300	1.11	CU	3.68	0.300	3.68	CU								
A0A9P5BFG7	mononuclear	5	CuA	0.64	88.2	CuB	2.42	64.3	3.71	2	27	0.37	0.880	0.37	CU	3.07	0.820	3.07	CU								
A0A9P5F1P8	mononuclear	5	CuA	0.56	98.0	CuB	0.67	94.9	4.13	3	25	0.26	0.930	0.26	CU	0.85	0.830	0.85	CU								
A0A9P5IJI5	mononuclear	5	CuA	0.19	94.1	CuB	0.56	91.0	3.5	3	26	0.58	0.960	0.58	CU	0.33	0.810	0.33	CU								
A0A9P6DJR5	mononuclear	5	CuB	0.59	93.1	CuA	1.15	50.3	3.69	4	29	1.09	0.990	1.09	CU	0.86	0.380	0.86	CU								
A0A9P6EYF3	binuclear	5	CuB	0.30	84.8	CuA	0.64	61.0	3.91	3	36	1.20	0.700	1.20	CU	1.26	0.790	1.06	ZN								
A0A9P6HVN3	no_cu	4	neither		93.8	neither		70.3	14.81																		
A0A9P6HYB5	mononuclear	5	CuA	0.55	97.7	CuB	0.57	95.2	4.03	2	18	0.41	1.000	0.41	CU	1.21	0.720	1.21	CU								
A0A9P6LG06	mononuclear	5	CuA	0.31	96.1	CuB	0.44	88.3	4.37	2	16	2.61	0.410	2.61	CU	1.16	0.480	1.16	CU								
A0A9P7HU99	mononuclear	5	CuA	0.30	95.7	CuB	0.47	94.3	3.85	3	20	0.34	0.980	0.34	CU	1.36	0.940	1.36	CU								
A0A9P7QPY3	binuclear	5	CuA	0.46	97.1	CuB	1.02	93.8	3.92	1	18	0.24	0.970	0.24	CU	3.79	0.970	3.79	CU								
A0A9P7R1E3	mononuclear	4	CuB	0.07	90.4	CuA	1.25	55.6	5.08	2	23	0.06	0.920	0.06	CU	2.35	0.510	2.35	CU								
A0A9P7R9D2	mononuclear	5	CuA	0.53	97.2	CuB	0.54	94.8	3.88	3	24	0.82	0.670	0.82	CU	0.37	0.830	0.37	CU								
A0A9P8DKY9	mononuclear	5	CuA	0.29	95.2	CuB	0.47	93.3	3.86	3	25	0.61	0.830	0.61	CU	0.53	0.640	0.53	CU								
A0A9P8EVR0	no_cu	2	neither		81.3	neither		71.6	33.24	0	27			11.54	X			2.97	X								
A0A9P8G211	no_cu	1	neither		81.4	neither		72.9	32.34	0	19			12.77	X			6.37	X								
A0A9P8G4G9	no_cu	1	neither		76.7	neither		76.4	35.77	0	27			1.62	X			0.05	X								
A0A9P8GH40	no_cu	1	neither		84.4	neither		72.6	18.5	0	21			1.53	X			6.15	X								
A0A9P8JBW6	no_cu	1	neither		74.7	neither		74.4	32.49	0	24			4.64	X			0.61	X								
A0A9P8MUU1	no_cu	2	CuB	2.96	76.6	neither		79.6	19.91	0	20			4.04	X			12.53	X								
A0A9P8SF21	binuclear	5	CuA	0.72	93.4	CuB	0.41	93.6	4.16	2	38	0.24	0.880	0.24	CU	2.39	0.680	2.39	CU								
A0A9P9AG59	mononuclear	5	CuA	0.50	94.3	CuB	0.12	86.4	4.45	3	17	1.17	0.950	1.17	CU	1.00	0.890	1.00	CU								
A0A9P9IM25	binuclear	5	CuB	0.37	91.0	CuA	0.96	88.3	4.26	3	38	1.23	0.620	1.23	CU	0.56	0.600	0.56	CU								
A0A9P9KNI3	mononuclear	5	CuA	0.29	96.7	CuB	0.51	94.2	3.83	2	17	0.47	0.950	0.47	CU	0.54	0.880	0.54	CU								
A0A9Q0B6Y1	mononuclear	5	CuA	0.49	97.4	CuB	0.56	95.1	3.9	2	23	0.12	0.970	0.12	CU	0.57	0.780	0.57	CU								
A0A9Q0QJI7	binuclear	5	CuA	0.60	90.3	CuB	0.64	86.4	3.93	2	23	0.80	0.990	0.80	CU	0.26	0.840	0.26	CU								
A0A9Q3GXD1	binuclear	5	CuA	0.20	91.6	CuB	0.85	87.1	3.96	2	16	0.30	0.910	0.30	CU	0.67	0.860	0.67	CU								
A0A9Q3H9V3	no_cu	3	CuA	1.40	75.1	CuB	1.97	37.6	3.38	0	15			0.80	ZN			2.64	ZN								
A0A9Q8LKP3	mononuclear	5	CuA	0.50	96.2	CuB	0.37	94.9	3.95	3	23	1.16	0.890	1.16	CU	0.19	0.320	0.19	CU								
A0A9Q8T2R4	mononuclear	5	CuB	0.52	91.8	CuA	0.42	80.8	3.75	2	13	0.46	0.910	0.46	CU	1.48	0.860	1.48	CU								
A0A9Q8WCM4	mononuclear	5	CuA	0.46	97.2	CuB	0.51	94.7	4.02	3	21	0.49	0.920	0.49	CU	0.45	0.670	0.45	CU								
A0A9Q8WG05	mononuclear	4	CuB	2.93	95.1	neither		73.5	2.66	1	22	0.85	0.960	0.85	CU	3.19	0.960	3.16	ZN	3.21	0.990	3.21	CU	0.90	0.990	0.90	CU
A0A9Q8ZBH0	mononuclear	5	CuB	0.93	94.3	CuA	1.27	78.8	3.72	2	24	0.69	0.750	0.69	CU	2.15	0.720	1.69	ZN								
A0A9R0TD02	mononuclear	5	CuB	0.71	90.5	CuA	0.82	90.5	3.8	2	39	1.17	0.920	1.17	CU	0.33	0.990	0.33	CU								
A0A9R0VMT2	binuclear	5	CuB	0.46	93.3	CuA	0.84	82.1	4.23	2	26	0.33	0.950	0.33	CU	0.14	0.850	0.14	CU								
A0A9R1KF29	mononuclear	5	CuB	0.65	81.3	CuA	0.90	66.1	4.05	2	25	1.38	0.630	1.38	CU	0.54	0.950	0.54	CU								
A0A9R1N0A3	binuclear	5	CuB	0.43	94.7	CuA	0.78	83.5	4.14	3	21	0.62	0.670	0.62	CU	0.70	0.920	0.70	CU								
A0A9R1RCW5	mononuclear	4	CuB	0.41	84.0	neither		33.5	9.59	2	27	0.58	0.890	0.58	CU	6.86	0.560	2.42	X	2.93	0.960	2.93	CU	1.48	0.950	1.48	CU
A0A9W3BB61	no_cu	3	CuB	0.34	72.0	neither		60.8	25.64	0	38			3.64	X			5.45	X								
A0A9W4KMZ8	binuclear	5	CuA	0.68	80.3	CuB	0.89	71.9	4.54	1	37	0.36	0.610	0.36	CU	4.52	0.610	4.52	CU								
A0A9W4W8U2	mononuclear	5	CuA	0.51	97.5	CuB	0.69	94.6	4.01	2	15	0.88	0.970	0.88	CU	0.39	0.820	0.39	CU								
A0A9W6BT77	binuclear	5	CuB	0.36	91.6	CuA	0.65	70.9	4.23	2	44	0.63	0.970	0.63	CU	1.44	0.870	1.44	CU								
A0A9W6TPR0	mononuclear	5	CuA	0.32	93.4	CuB	0.71	78.7	4.43	2	27	0.42	0.970	0.42	CU	1.96	0.910	1.96	CU								
A0A9W6UBD6	no_cu	1	neither		67.6	neither		54.4	31.07	0	25											6.57	X			6.95	X
A0A9W7T0I7	mononuclear	5	CuA	0.48	96.5	CuB	0.83	96.3	3.54	2	16	0.51	0.930	0.51	CU	1.29	0.890	1.29	CU								
A0A9W8VAU3	mononuclear	3	CuB	2.07	96.0	neither		64.0	5.04																		
A0A9W9IRY5	mononuclear	5	CuA	0.33	94.0	CuB	0.70	90.3	3.57	2	21	0.91	0.980	0.91	CU	1.10	0.380	1.10	CU								
A0A9W9Q612	mononuclear	5	CuB	0.64	69.6	CuA	0.99	69.2	3.99	2	50	1.44	0.620	1.44	CU	0.56	0.660	0.56	CU								
A0A9W9T4Q6	no_cu	4	CuA	0.53	95.8	CuB	0.44	90.3	3.69	2	21	0.60	0.560	0.60	CU	0.50	0.620	0.50	CU								
A0A9W9UKW6	mononuclear	5	CuB	0.56	69.3	CuA	0.80	67.5	3.92	3	52	0.32	0.680	0.32	CU	0.67	1.000	0.67	CU								
A0A9W9WQE3	mononuclear	5	CuB	0.26	94.1	CuA	0.91	82.3	4.48	4	39	1.16	0.900	1.16	CU	0.29	0.640	0.29	CU								
A0A9X0AKU8	mononuclear	5	CuA	0.67	95.8	CuB	0.65	94.9	4.07	2	20	0.19	0.970	0.19	CU	1.20	0.910	1.20	CU								
A0A9X0AXG5	mononuclear	5	CuA	0.65	93.5	CuB	0.77	91.5	3.77	1	17	0.45	0.890	0.45	CU	3.93	0.890	3.93	CU								
A0AA35M0Q8	mononuclear	4	CuB	0.37	90.8	CuA	1.49	50.6	4.91	3	51	0.34	0.970	0.34	CU	2.20	0.860	2.20	CU								
A0AA35TLZ1	mononuclear	4	CuA	0.12	95.2	CuB	0.26	75.3	3.85	2	25	0.52	0.940	0.52	CU	0.83	0.590	0.83	CU								
A0AA37GRR7	mononuclear	5	CuB	0.57	94.1	CuA	0.48	96.8	3.89	2	16	0.53	0.730	0.53	CU	0.42	0.940	0.42	CU								
A0AA37LRM6	mononuclear	5	CuA	0.42	90.7	CuB	0.49	86.4	3.81	2	28	0.15	0.960	0.15	CU	1.28	0.900	1.28	CU								
A0AA37P8W3	mononuclear	5	CuA	0.54	98.0	CuB	1.32	94.7	3.72	2	16	0.95	0.860	0.95	CU	1.71	0.890	1.71	CU								
A0AA38RAI0	mononuclear	5	CuA	0.32	93.8	CuB	0.56	90.8	3.85	3	20	0.81	0.880	0.81	CU	1.29	0.390	1.29	CU								
A0AA38XVF3	mononuclear	5	CuA	0.41	93.7	CuB	0.63	93.3	3.81	2	20	0.26	0.970	0.26	CU	1.17	0.940	1.17	CU								
A0AA38ZJU6	binuclear	5	CuB	0.86	85.0	CuA	0.87	80.7	3.91	1	27	3.01	0.790	3.01	CU	0.91	0.790	0.91	CU								
A0AA39GKR5	mononuclear	5	CuA	0.36	93.1	CuB	0.33	88.0	4.03	3	28	0.26	0.990	0.26	CU	1.27	0.700	1.27	CU								
A0AA39K704	binuclear	5	CuB	0.33	97.8	CuA	0.80	91.3	4.05	2	18	0.67	0.820	0.67	CU	0.33	0.830	0.33	CU								
A0AA39T9Y6	binuclear	5	CuB	0.65	97.2	CuA	0.49	93.4	3.72	2	29	0.51	0.910	0.51	CU	1.52	0.980	1.52	CU								
A0AA39WFD7	binuclear	5	CuA	0.59	97.3	CuB	0.87	97.3	3.75	4	19	0.43	1.000	0.43	CU	1.24	0.490	1.24	CU								
A0AA39YZL0	mononuclear	5	CuB	0.37	89.5	CuA	0.62	74.7	4.01	3	19	0.65	0.950	0.65	CU	0.90	0.600	0.90	CU								
A0AA39ZVR3	mononuclear	5	CuA	0.38	83.3	CuB	0.67	68.2	4.23	1	14	0.44	0.980	0.44	CU	3.85	0.980	3.85	CU								
A0AA40K7X1	binuclear	5	CuB	0.17	96.0	CuA	0.99	92.1	4.26	3	17	0.95	0.760	0.95	CU	0.68	0.510	0.68	CU								
