accession,nres,ndom,chopping,confidence
A0AAN9SNT0,585,2,"92-418,429-581",0.861
A0AAN9SPQ9,328,1,142-327,0.855
A0AAN9SPT9,586,2,"94-420,429-583",0.855
A0AAN9SWL1,251,2,"4-70,92-250",0.930
A0AAN9T219,739,4,"2-27_268-571,28-142,156-246,572-737",0.803
A0AAN9T2S7,598,2,"104-423,429-596",0.833
A0AAN9T4X3,609,2,"116-439,464-608",0.838
A0AAN9U793,344,1,38-340,0.753
A0AAN9ULC6,513,3,"7-315,319-360,367-511",0.580
A0AAN9ULJ2,342,1,35-341,0.702
A0AAN9UNA2,293,1,4-279,0.702
A0AAN9UNN2,424,3,"8-95,110-309,339-415",0.677
A0AAN9UQ80,395,1,32-394,0.680
A0AAN9UR76,141,1,17-139,0.948
A0AAN9UXB5,624,2,"24-154,155-615",0.694
A0AAN9UYM9,386,1,28-34_103-384,0.756
A0AAN9V1I8,376,1,28-60_84-374,0.710
A0AAN9V3Q1,645,2,"5-144_306-376,150-305_380-644",0.610
A0AAN9XNW7,508,2,"79-354,383-505",0.835
A0AAN9YE01,348,1,29-347,0.702
A0AAN9YEV1,659,3,"6-58,72-476,489-658",0.805
A0AAN9YIB4,437,1,34-186_271-436,0.642
A0AAN9YM51,258,1,16-243,0.752
A0AAN9YPG6,448,3,"1-57,97-294,311-436",0.647
A0AAN9YPY3,413,2,"26-80_353-412,81-352",0.686
A0AAN9YTH8,381,2,"4-61,123-374",0.876
A0AAP0AW68,420,2,"20-267,288-419",0.880
A0AAP0AZN8,575,2,"84-406,412-574",0.845
A0AAP0BZ22,567,2,"83-411,419-566",0.860
A0AAP0C5I0,596,2,"102-430,436-595",0.859
A0AAP0CDX7,596,2,"97-425,426-595",0.839
A0AAP0CHD7,608,2,"125-434,443-604",0.808
A0AAP0CKY6,608,2,"125-434,443-604",0.811
A0AAP0CMG0,609,2,"126-435,444-605",0.814
A0AAP0CMQ2,606,2,"125-435,444-604",0.811
A0AAP0FV86,494,2,"34-345,359-493",0.903
A0AAP0FVC5,472,3,"13-66,72-255_413-457,267-407",0.699
A0AAP0GHC6,590,2,"90-421,427-588",0.838
A0AAP0GPG4,607,2,"86-435,444-604",0.824
A0AAP0GRN9,606,2,"107-435,444-605",0.819
A0AAP0H761,603,2,"127-432,438-600",0.822
A0AAP0H8T4,603,2,"92-433,439-600",0.824
A0AAP0HAD4,398,1,85-394,0.772
A0AAP0I583,586,3,"1-53,82-408,417-585",0.808
A0AAP0I586,591,2,"79-404,410-590",0.862
A0AAP0ICX1,601,2,"88-413,419-600",0.862
A0AAP0IE14,590,3,"1-52,87-413,422-589",0.805
A0AAP0IE78,485,1,62-358,0.888
A0AAP0J9F0,592,3,"7-52,75-404,410-591",0.873
A0AAP0JCV2,534,2,"118-372,379-533",0.907
A0AAP0JDS4,437,2,"12-260,273-434",0.895
A0AAP0JEU7,600,2,"101-428,438-597",0.865
A0AAP0JNA5,598,3,"3-51,85-408,414-597",0.848
A0AAP0JNY2,388,1,83-379,0.800
A0AAP0K4D0,619,2,"64-389,413-555",0.836
A0AAP0KCC9,521,2,"22-349,359-518",0.936
A0AAP0KCE4,261,1,75-256,0.715
A0AAP0KDK4,602,2,"101-430,440-599",0.884
A0AAP0KDL4,423,2,"3-247,259-420",0.925
A0AAP0KE60,452,2,"2-281,305-449",0.933
A0AAP0KF43,369,2,"1-132_301-341,133-296",0.737
A0AAP0KHG4,641,3,"1-59,148-478,484-640",0.847
A0AAP0KJ39,595,2,"103-427,454-592",0.883
A0AAP0L625,621,2,"126-449,459-607",0.824
A0AAP0N8E7,605,2,"105-432,450-596",0.837
A0AAP0N8Z7,494,2,"8-327,333-493",0.929
A0AAP0P695,435,2,"31-264,288-433",0.945
A0AAP0P8Q6,592,2,"106-428,434-591",0.834
A0AAP0PMG1,519,2,"11-109,161-489",0.926
A0AAP0PMG7,576,2,"93-415,421-575",0.852
A0AAP0PN27,653,2,"101-418_466-481,491-650",0.797
A0AAP0PN32,592,2,"106-428,434-591",0.843
A0AAP0PRA1,560,2,"94-412,421-556",0.868
A0AAP0PTR3,597,2,"103-423,434-594",0.854
A0AAP0PTR8,585,2,"94-412,418-582",0.868
A0AAP0PUP6,579,2,"83-406,436-576",0.827
A0AAP0Q1Z6,547,2,"29-359,367-546",0.899
A0AAP0Q246,400,2,"8-197,207-386",0.870
A0AAP0Q6Z2,551,2,"48-363,371-550",0.868
A0AAP0QZG8,591,2,"96-416,422-589",0.841
A0AAP0R6Z3,601,2,"98-435,474-600",0.827
A0AAP4Q954,361,2,"2-320,321-360",0.680
A0AAP5I6Y4,678,4,"5-115,147-162_515-677,165-253_349-514,258-341",0.852
A0AAP5IG72,524,2,"3-315,327-522",0.867
A0AAP6BEB3,287,2,"3-125,156-286",0.665
A0AAP7ZKC4,168,1,79-164,0.668
A0AAP7ZQB5,412,2,"2-114,125-389",0.897
A0AAP7ZR45,496,2,"38-310,323-495",0.704
A0AAP9W0F9,494,2,"4-304,328-493",0.862
A0AAQ0FDD7,542,2,"8-196_301-402,209-300_409-541",0.696
A0AAQ3K6R0,574,2,"66-388,395-573",0.858
A0AAQ3K708,575,2,"58-392,398-574",0.874
A0AAQ3K867,523,2,"24-343,351-522",0.908
A0AAQ3KAM4,558,2,"52-374,381-557",0.866
A0AAQ3KBY5,596,2,"100-410,416-589",0.852
A0AAQ3KC62,557,2,"23-34_380-556,49-371",0.868
A0AAQ3KMC4,217,1,8-161_198-215,0.757
A0AAQ3KY21,457,1,8-49_189-431,0.743
A0AAQ3KYK2,595,2,"99-416,446-588",0.858
A0AAQ3KZE2,591,2,"90-412,442-584",0.860
A0AAQ3L3F5,105,1,7-98,0.912
A0AAQ3L3I7,111,1,16-107,0.797
A0AAQ3L442,583,2,"91-418,436-582",0.865
A0AAQ3L592,588,2,"97-422,440-586",0.864
A0AAQ3LZL9,668,2,"71-448,484-659",0.674
A0AAQ3LZX8,681,3,"25-75_393-439,85-363,451-656",0.859
A0AAQ3M2U8,640,2,"30-421,422-628",0.664
A0AAQ3M6B4,616,2,"32-409_414-418,410-413_419-614",0.628
A0AAQ3M852,632,2,"50-423,454-631",0.655
A0AAQ3MLN9,583,2,"90-413,429-582",0.837
A0AAQ3NE20,555,2,"30-45_406-546,72-400",0.862
A0AAQ3PCB6,474,2,"98-343,358-473",0.852
A0AAQ3QB23,855,2,"334-680,689-854",0.785
A0AAQ3QBU2,595,2,"89-410,428-588",0.849
A0AAQ3QBY4,591,2,"85-408,414-590",0.854
A0AAQ3QN42,569,2,"74-409,427-568",0.879
A0AAQ3QRJ2,595,2,"101-430,431-594",0.845
A0AAQ3R599,727,2,"29-428,523-694",0.700
A0AAQ3RI32,592,2,"98-425,463-590",0.825
A0AAQ3RJ02,592,2,"98-426,463-590",0.824
A0AAQ3RXA6,571,2,"31-45_405-546,99-400",0.853
A0AAQ3SF65,530,2,"115-366,372-529",0.858
A0AAQ3T7W2,589,2,"111-409,415-588",0.799
A0AAQ3U8A2,576,2,"117-415,443-575",0.850
A0AAQ3U9C5,553,2,"93-404,432-550",0.848
A0AAQ3UA72,578,2,"119-418,446-577",0.848
A0AAQ3UL81,633,2,"98-468,504-630",0.840
A0AAQ3UM95,550,2,"36-388,421-547",0.905
A0AAQ3UN37,472,2,"12-309,340-470",0.895
A0AAQ3UN46,329,1,92-328,0.762
A0AAQ3UQQ0,633,2,"100-469,493-631",0.836
A0AAQ3XCG4,559,2,"40-395,429-557",0.879
A0AAQ3XDA6,650,2,"138-493,494-648",0.848
A0AAQ3XEA2,602,2,"87-437,447-600",0.859
A0AAQ4Q114,516,2,"22-305_417-453,320-414",0.587
A0AAQ4S355,570,1,27-125_144-145_151-498,0.598
A0AAQ5X179,549,1,41-477,0.728
A0AAQ5XAY1,527,1,17-455,0.680
A0AAQ5Y3S0,513,2,"21-304_427-452,319-413",0.588
A0AAQ5Z856,536,2,"30-313_434-434_436-464,321-417",0.546
A0AAQ5ZR95,532,1,24-460,0.696
A0AAQ6A9Q3,532,1,24-460,0.679
A0AAR2JSQ7,513,2,"24-304_421-451,319-407",0.578
A0AAT9GWH1,487,2,"22-319,348-486",0.922
A0AAT9HW08,107,1,4-83,0.797
A0AAT9HWJ0,149,1,12-71,0.779
A0AAU1I477,286,2,"3-125,156-285",0.683
A0AAU1I775,274,2,"3-124,153-271",0.650
A0AAU1IC92,273,2,"3-124,153-271",0.665
A0AAU1LK91,286,2,"2-124,155-285",0.739
A0AAU1UBC7,284,2,"3-125,156-283",0.685
A0AAU2A8A6,289,2,"3-125,156-288",0.617
A0AAU2H4C1,305,2,"4-152,172-304",0.650
A0AAU2HAL7,275,2,"3-124,153-272",0.651
A0AAU2HEW3,292,2,"3-125,159-290",0.677
A0AAU2K2D8,287,2,"2-124,155-286",0.710
A0AAU2K3A4,283,2,"3-124,153-271",0.658
A0AAU2V7P9,289,2,"3-125,156-288",0.684
A0AAU2VDU9,275,2,"3-124,153-271",0.651
A0AAU3H4A4,285,2,"2-124,155-284",0.688
A0AAU3HR60,274,2,"3-124,153-271",0.644
A0AAU3HVM4,288,2,"3-125,156-287",0.681
A0AAU6WJC6,552,2,"4-361,381-551",0.863
A0AAU7B3G6,708,4,"42-287,377-471,478-558,560-646",0.932
A0AAU7EFE9,501,3,"14-75,87-376,383-500",0.850
A0AAU7EG80,492,2,"2-132,138-461",0.864
A0AAU7KGC4,282,2,"6-139,165-278",0.646
A0AAU7KSU2,282,2,"6-139,165-265",0.677
A0AAU7MTE2,458,3,"19-259,262-332,359-457",0.781
A0AAU7RY35,508,2,"50-294,311-506",0.707
A0AAU7SHS6,508,2,"50-294,311-506",0.707
A0AAU8IVA8,289,2,"3-125,156-288",0.626
A0AAU8JPL9,275,1,3-271,0.768
A0AAU8KRZ4,287,2,"2-124,156-286",0.721
A0AAU8MSI0,519,2,"40-352,372-518",0.846
A0AAU8RIP0,451,3,"22-261,262-332,373-450",0.782
A0AAU8TKU6,318,2,"2-143,164-302",0.661
A0AAU9ASS0,549,2,"42-387,402-547",0.729
A0AAU9KU22,528,2,"54-390,399-524",0.764
A0AAU9L2Q4,393,3,"8-66,76-239,241-387",0.653
A0AAU9LEH6,512,2,"41-402,407-494",0.643
A0AAU9LQV9,595,2,"101-423,429-594",0.843
A0AAU9M4G3,536,2,"100-368,374-535",0.814
A0AAU9M8C5,518,1,136-436,0.905
A0AAU9MCZ0,591,2,"98-426,432-590",0.860
A0AAU9NEQ9,588,2,"97-424,430-587",0.848
A0AAU9NMM9,601,2,"105-433,434-600",0.843
A0AAU9NNJ2,621,2,"97-451,457-619",0.829
A0AAU9P2X6,613,2,"166-442,448-611",0.793
A0AAU9P300,610,2,"117-441,447-608",0.849
A0AAU9P3F3,612,2,"137-441,447-610",0.839
A0AAU9P3I2,377,1,120-368,0.873
A0AAU9P4M5,259,2,"7-84_250-256,107-238",0.887
A0AAU9PIY2,617,2,"108-447,453-614",0.840
A0AAU9PK05,609,2,"105-441,447-607",0.827
A0AAU9WDB8,570,3,"24-119,128-223,257-566",0.948
A0AAU9WFJ4,886,7,"7-102,127-158,185-215,242-305,306-581,582-736,758-884",0.888
A0AAU9WFM1,465,3,"30-60,87-150,153-461",0.927
A0AAU9WGN4,395,2,"41-289,295-394",0.750
A0AAU9WHW5,302,2,"3-127,140-296",0.844
A0AAU9WI44,889,4,"11-64,65-407,459-486_850-888,487-839",0.839
A0AAU9WPB8,327,2,"33-68,76-325",0.785
A0AAU9WPJ8,327,2,"33-68,76-325",0.796
A0AAU9XDJ2,368,2,"1-162,163-309",0.684
A0AAU9XDP3,467,2,"21-245_272-305,267-271_306-458",0.616
A0AAU9XDY0,526,2,"21-236,267-466",0.635
A0AAU9XEH8,360,1,23-306,0.664
A0AAU9XEI7,527,2,"21-308_459-465,313-458",0.629
A0AAU9XEN4,338,2,"1-135,144-274",0.650
A0AAU9XFP2,531,2,"71-235,260-512_523-529",0.698
A0AAU9XJ70,739,3,"3-98_411-481,110-406,482-734",0.872
A0AAU9Y0L2,612,2,"57-265,301-560",0.915
A0AAU9YR33,426,2,"20-285,295-405",0.635
A0AAU9ZCW9,537,1,112-464,0.761
A0AAU9ZQL3,517,1,25-456,0.676
A0AAV0AT52,392,1,27-391,0.665
A0AAV0B387,278,3,"4-137,144-222,245-276",0.624
A0AAV0BI07,459,1,152-458,0.904
A0AAV0BJD1,431,1,106-416,0.885
A0AAV0BSM7,182,1,64-172,0.794
A0AAV0BTF9,310,2,"64-223_286-302,226-284",0.630
A0AAV0D8A7,417,2,"1-246,280-416",0.890
A0AAV0D8C6,597,2,"104-431,437-594",0.834
A0AAV0D9J7,203,1,5-174,0.808
A0AAV0DC65,430,2,"12-258,293-429",0.887
A0AAV0DDY2,592,2,"98-429,435-591",0.855
A0AAV0E6W5,596,2,"81-412,430-594",0.823
A0AAV0EUW0,592,2,"98-429,435-591",0.852
A0AAV0F653,591,2,"100-423,429-589",0.835
A0AAV0F674,597,2,"104-431,437-594",0.835
A0AAV0GYJ1,566,2,"63-390,397-565",0.876
A0AAV0GYJ9,570,2,"72-394,400-569",0.880
A0AAV0IP74,297,2,"19-61,89-279",0.690
A0AAV0IPS2,207,1,23-179,0.677
A0AAV0IRM0,230,2,"41-99,130-224",0.851
A0AAV0KGU5,594,2,"53-429,435-593",0.855
A0AAV0KGU8,565,2,"131-396,402-564",0.876
A0AAV0KH15,680,2,"167-508,526-679",0.831
A0AAV0KHA4,382,2,"1-219,221-381",0.904
A0AAV0KHB9,608,2,"95-436,454-607",0.840
A0AAV0KHF7,614,2,"87-429,435-613",0.833
A0AAV0KHJ9,564,2,"53-395,403-563",0.902
A0AAV0KID9,604,2,"87-429,435-603",0.819
A0AAV0KIE9,598,2,"87-429,435-597",0.828
A0AAV0KIG3,595,2,"82-82_84-422,428-594",0.863
A0AAV0KIW6,419,2,"1-246,266-418",0.917
A0AAV0KIW7,615,2,"88-430,436-614",0.818
A0AAV0KJ21,594,2,"53-429,436-593",0.830
A0AAV0KJ97,594,2,"122-421,427-593",0.865
A0AAV0KJI5,444,2,"1-255,265-443",0.888
A0AAV0KJN7,594,2,"55-430,436-593",0.851
A0AAV0KKR9,431,2,"1-262,275-430",0.919
A0AAV0KKU9,594,2,"91-421,427-593",0.864
A0AAV0KL44,595,2,"81-422,428-594",0.860
A0AAV0KL84,605,2,"54-430,438-604",0.840
A0AAV0KL96,599,2,"54-430,437-598",0.857
A0AAV0L826,111,1,1-110,0.994
A0AAV0LWL0,571,2,"76-398,404-570",0.883
A0AAV0N836,78,1,9-75,0.976
A0AAV0N856,91,1,1-86,0.856
A0AAV0ND81,210,1,12-205,0.881
A0AAV0PBF5,589,2,"96-419,425-587",0.846
A0AAV0PBK9,617,2,"103-429,444-616",0.806
A0AAV0PBZ6,580,2,"122-416,447-579",0.840
A0AAV0PC46,588,2,"96-419,425-586",0.845
A0AAV0PCB3,612,2,"125-426,441-610",0.812
A0AAV0PCJ9,492,2,"25-323,341-490",0.866
A0AAV0PCK7,530,2,"27-361,393-528",0.898
A0AAV0PCM8,416,2,"12-244,287-414",0.880
A0AAV0PCN1,584,2,"82-406,412-582",0.852
A0AAV0PCP3,356,1,27-348,0.874
A0AAV0PCS3,541,2,"82-378,379-539",0.851
A0AAV0PD83,520,2,"25-351,360-518",0.897
A0AAV0PD89,611,2,"103-439,471-609",0.836
A0AAV0PD91,614,2,"103-436,454-612",0.839
A0AAV0PDA9,581,2,"96-419,451-579",0.851
A0AAV0PDB0,582,2,"82-406,454-580",0.826
A0AAV0PDB7,547,2,"75-384,385-545",0.819
A0AAV0PDC2,407,2,"1-245,278-405",0.859
A0AAV0PDF8,599,2,"89-427,469-597",0.824
A0AAV0PE40,562,2,"103-393,408-561",0.848
A0AAV0PE66,525,2,"26-360,375-524",0.906
A0AAV0PE72,595,2,"103-430,462-593",0.850
A0AAV0PE99,577,2,"82-407,442-575",0.824
A0AAV0TFG8,637,2,"29-357,514-601",0.767
A0AAV0TQH7,549,2,"1-319,394-495",0.741
A0AAV0TZW1,579,2,"30-406,418-528",0.654
A0AAV0U2A6,579,2,"29-406,418-528",0.684
A0AAV0U3J4,579,2,"29-419,420-528",0.670
A0AAV0U988,529,3,"33-375,377-421,430-523",0.648
A0AAV0UD10,482,2,"12-345,354-478",0.721
A0AAV0UD26,564,2,"1-322,406-507",0.770
A0AAV0UFB5,498,2,"30-361,370-494",0.743
A0AAV0UGV2,630,2,"39-372,380-573",0.763
A0AAV0UHU3,481,2,"28-360,370-478",0.707
A0AAV0UKA0,529,2,"33-377_383-383,378-382_384-523",0.665
A0AAV0UTT5,545,2,"47-399,444-537",0.702
A0AAV0UV36,629,2,"30-365_507-515,520-607",0.732
A0AAV0UVP2,579,2,"29-420,434-528",0.692
A0AAV0UVW7,605,2,"29-358,496-583",0.752
A0AAV0UWJ7,566,3,"29-358,363-421,435-540",0.734
A0AAV0V041,870,3,"28-37_422-459_712-796,54-392,400-421_460-684",0.737
A0AAV0YYA1,606,2,"100-424,430-605",0.844
A0AAV0YYV2,606,2,"100-424,430-605",0.857
A0AAV0YZF1,605,2,"100-424,430-604",0.839
A0AAV0YZZ9,602,2,"96-419,473-601",0.826
A0AAV0Z014,606,2,"100-424,430-605",0.856
A0AAV0Z1G0,608,2,"102-434,479-607",0.814
A0AAV0Z2H5,604,2,"96-421,462-603",0.836
A0AAV0Z3C4,615,2,"103-438,485-614",0.818
A0AAV1ATB2,587,2,"118-419,438-586",0.854
A0AAV1AVH4,589,2,"118-419,440-588",0.844
A0AAV1BW14,597,2,"91-412,430-596",0.830
A0AAV1BW24,641,2,"88-416,434-600",0.855
A0AAV1C080,597,2,"87-415,421-592",0.868
A0AAV1DR03,586,2,"86-407,425-582",0.857
A0AAV1EU58,528,2,"19-302_436-456,313-409",0.573
A0AAV1FSF0,471,2,"12-358,361-434",0.869
A0AAV1FSZ5,567,1,21-454,0.748
A0AAV1FWW4,540,1,23-455,0.680
A0AAV1H1T1,516,1,23-319_326-454,0.629
A0AAV1HKY4,521,2,"18-300_435-455,312-414",0.553
A0AAV1N112,521,1,19-455,0.658
A0AAV1N299,528,1,20-456,0.685
A0AAV1N484,517,1,23-320_327-455,0.672
A0AAV1P4H2,564,1,22-431,0.786
A0AAV1P646,540,1,21-455,0.719
A0AAV1PBZ1,544,2,"22-96,102-453",0.749
A0AAV1RPP7,573,2,"65-395,401-572",0.872
A0AAV1SH10,590,2,"82-418,427-589",0.820
A0AAV1SIL4,572,2,"95-411,446-571",0.862
A0AAV1SJN9,590,2,"82-412,427-589",0.828
A0AAV1SKZ2,575,2,"89-415,444-573",0.881
A0AAV1T0B6,498,2,"30-361,370-494",0.715
A0AAV1UFK2,538,2,"42-386_392-392,387-391_393-530",0.684
A0AAV1UU79,684,2,"29-363_549-571,572-647",0.751
A0AAV1UUI4,591,2,"29-422,436-530",0.678
A0AAV1WJ01,589,2,"107-426,461-587",0.844
A0AAV1WJ15,526,2,"44-363,372-524",0.873
A0AAV1WJ25,615,2,"133-452,458-613",0.830
A0AAV1WJ98,580,2,"122-416,422-578",0.814
A0AAV1WJU8,520,2,"66-360,391-518",0.878
A0AAV1WJY0,657,2,"102-440,446-606",0.816
A0AAV1WK00,616,2,"109-440,446-605",0.833
A0AAV1WK02,526,2,"44-363,398-524",0.865
A0AAV1WK21,523,2,"44-363,394-521",0.875
A0AAV2CAH3,570,2,"69-390,396-569",0.870
A0AAV2CAH8,580,2,"73-400,406-579",0.856
A0AAV2CCA7,572,2,"73-395,401-571",0.863
A0AAV2CJ11,108,1,1-94,0.918
A0AAV2CJ23,104,1,1-99,0.964
A0AAV2DU16,616,2,"53-430,436-615",0.824
A0AAV2DUU7,607,2,"101-435,453-606",0.816
A0AAV2EGR3,573,2,"77-399,405-572",0.875
A0AAV2FHY5,604,2,"104-434,449-603",0.833
A0AAV2FI49,570,2,"71-402,441-568",0.854
A0AAV2FI73,583,2,"81-413,454-581",0.824
A0AAV2FIX1,606,2,"100-424,439-604",0.834
A0AAV2FJC1,603,2,"95-418,465-601",0.815
A0AAV2FJU7,597,2,"93-419,425-595",0.823
A0AAV2H9A7,158,1,18-113,0.901
A0AAV2I325,867,4,"21-302,312-433,454-734,744-856",0.771
A0AAV2IBA7,764,3,"23-41_438-647,49-396,682-744",0.800
A0AAV2ID48,130,1,32-124,0.846
A0AAV2IQW6,403,2,"31-314,322-370",0.863
A0AAV2J037,538,2,"21-24_97-455,25-96",0.704
A0AAV2J9S7,534,1,13-304_311-444,0.646
A0AAV2JZN2,515,1,25-319_327-454,0.655
A0AAV2KRH7,521,2,"20-97,103-456",0.729
A0AAV2LM82,531,1,25-458,0.672
A0AAV2QBX0,293,3,"1-54,88-187,213-284",0.701
A0AAV2QDB1,544,2,"181-233,319-541",0.827
A0AAV2R3N2,386,2,"30-119,125-373",0.934
A0AAV2SB49,127,1,1-74,0.769
A0AAV2T9N0,669,2,"153-427_462-566,590-649",0.797
A0AAV2VYF3,472,2,"4-309,324-470",0.892
A0AAV2YAN2,502,2,"27-343,380-488",0.722
A0AAV2YI36,563,2,"41-393,454-558",0.745
A0AAV2YL68,424,2,"5-255,266-404",0.828
A0AAV2YLR3,519,2,"42-397,410-514",0.629
A0AAV2YMG5,147,1,21-143,0.803
A0AAV2YQR1,499,2,"3-358,402-498",0.540
A0AAV2YTA9,531,2,"26-355,381-489",0.721
A0AAV2Z0Q5,555,2,"31-380,409-522",0.708
A0AAV2Z294,301,2,"5-160,164-297",0.686
A0AAV2Z3L5,652,2,"32-393_506-510,516-626",0.749
A0AAV2Z5P0,519,2,"35-357,404-515",0.700
A0AAV2Z9U8,513,2,"33-369,378-509",0.704
A0AAV2ZA52,499,1,85-491,0.757
A0AAV2ZC05,547,2,"55-399,400-542",0.710
A0AAV2ZDU1,585,2,"28-377,378-538",0.798
A0AAV2ZEZ8,425,2,"37-108_188-424,111-184",0.721
A0AAV2ZFK5,533,1,2-217_304-455,0.702
A0AAV2ZL06,225,1,34-195,0.718
A0AAV2ZM57,442,2,"26-112,148-436",0.705
A0AAV3ANS4,519,1,24-455,0.679
A0AAV3AQX7,497,1,109-430,0.807
A0AAV3ARD3,446,2,"21-111,144-432",0.722
A0AAV3B0N1,534,2,"29-313_445-467,324-426",0.566
A0AAV3B309,411,1,2-332,0.810
A0AAV3PS78,621,2,"92-456,462-620",0.831
A0AAV3Q0Z4,592,2,"107-431,437-591",0.843
A0AAV3QTV2,611,2,"113-447,453-610",0.826
A0AAV3RBK1,588,2,"95-418,424-587",0.848
A0AAV3RC73,624,2,"104-460,466-623",0.846
A0AAV3X2D7,917,4,"5-325,371-410_574-633,415-570,648-916",0.910
A0AAV3Y3A3,120,1,4-118,0.904
A0AAV3ZSK9,319,2,"54-232,244-309",0.793
A0AAV4B738,905,3,"78-84_487-699,85-456,753-830",0.829
A0AAV4F8E5,391,2,"31-307,344-386",0.824
A0AAV4HL71,702,2,"21-28_443-653,29-375",0.796
A0AAV4IQ38,720,2,"110-200,204-540",0.819
A0AAV4JTX0,594,2,"12-326,504-566",0.748
A0AAV4JUX5,360,3,"2-82,171-224,241-285",0.790
A0AAV4KD62,288,2,"3-125,156-287",0.672
A0AAV4KS32,275,2,"3-124,153-271",0.655
A0AAV4PWM4,443,1,2-184,0.882
A0AAV4PYT2,117,1,3-116,0.998
A0AAV5AL26,323,2,"2-142,167-309",0.721
A0AAV5C2Y6,568,2,"78-415,447-566",0.884
A0AAV5C374,172,1,17-137,0.821
A0AAV5C3U7,562,2,"68-396,402-561",0.871
A0AAV5C461,566,2,"81-413,445-564",0.877
A0AAV5C4W7,577,2,"86-415,450-575",0.881
A0AAV5CTB7,310,2,"8-126,153-309",0.791
A0AAV5CUA3,588,2,"112-420,449-587",0.815
A0AAV5CUF9,301,1,78-288,0.800
A0AAV5D8P6,577,2,"84-418,450-575",0.833
A0AAV5D987,711,3,"4-35_40-43,37-39_45-419,451-576",0.779
A0AAV5DGW2,570,2,"45-399,440-569",0.877
A0AAV5E484,567,2,"82-414,436-565",0.872
A0AAV5E4Y4,463,2,"133-338,348-461",0.876
A0AAV5E5M2,166,1,6-159,0.910
A0AAV5EVD3,290,1,134-285,0.813
A0AAV5EVG4,344,2,"8-125,158-295",0.771
A0AAV5EZW6,578,2,"86-419,451-576",0.836
A0AAV5FUW4,613,2,"78-448,482-612",0.861
A0AAV5G052,386,1,131-372,0.769
A0AAV5IQU0,590,2,"89-418,441-588",0.849
A0AAV5SIS3,232,2,"10-168,177-231",0.759
A0AAV5ST96,727,4,"37-385,394-443,476-557,589-687_709-709_711-720",0.790
A0AAV5T4N0,755,5,"59-144,174-217,228-497,515-556,621-730",0.814
A0AAV5T915,209,1,1-204,0.990
A0AAV5TAE6,334,2,"4-152_289-289,159-288",0.539
A0AAV5TB08,592,3,"22-356,374-415,493-589",0.896
A0AAV5TCG8,548,4,"8-261,273-322,355-437,467-547",0.799
A0AAV5TPF9,766,4,"25-371,389-440,441-618,629-765",0.903
A0AAV5TW37,537,3,"29-377,386-435,470-535",0.773
A0AAV5TWJ0,486,2,"74-392,410-452",0.880
A0AAV5V305,532,3,"2-27_73-355,54-72_433-530,361-415",0.747
A0AAV5VBP9,715,4,"37-385,394-443,476-557,589-672",0.790
A0AAV5VKD6,583,3,"20-354,372-413,484-580",0.904
A0AAV5VKK5,751,4,"85-141,173-496,514-555,621-748",0.800
A0AAV5VUR0,469,3,"5-290,297-350,382-465",0.922
A0AAV5VZB7,767,4,"26-372,390-429,432-620,630-766",0.902
A0AAV5WAY5,456,1,80-398,0.805
A0AAV5WB57,753,3,"55-461,494-575,611-701",0.789
A0AAV6FFQ9,298,1,50-214,0.843
A0AAV6GAX8,538,1,24-25_31-31_33-33_101-455,0.722
A0AAV6H7X6,466,1,43-405,0.720
A0AAV6HW47,579,2,"32-34_430-578,102-424",0.833
A0AAV6LBJ8,594,2,"98-420,426-593",0.841
A0AAV6LBV0,575,2,"98-407,408-574",0.835
A0AAV6M075,582,2,"78-402,435-561",0.832
A0AAV6MNP7,568,2,"79-399,414-567",0.845
A0AAV6MPW7,550,2,"73-393,402-548",0.862
A0AAV6PZD6,540,1,21-455,0.686
A0AAV6QBS0,533,1,32-461,0.688
A0AAV6QV07,522,2,"20-301_435-455,313-413",0.551
A0AAV6RCW8,515,2,"21-306_412-453,319-411",0.586
A0AAV6SET8,533,2,"11-218,260-444",0.621
A0AAV6W4D0,586,2,"98-421,438-575",0.846
A0AAV6W7X4,587,2,"97-426,446-586",0.838
A0AAV6W8L2,584,2,"94-423,429-583",0.841
A0AAV6WUS6,600,2,"97-432,449-597",0.848
A0AAV6X330,589,2,"94-416,422-588",0.849
A0AAV6X6T9,554,2,"119-381,399-553",0.906
A0AAV6XAP9,642,2,"2-293,294-465",0.826
A0AAV6XU46,593,2,"103-433,439-587",0.852
A0AAV6XV19,175,1,39-158,0.775
A0AAV6XVW6,584,2,"96-420,449-574",0.852
A0AAV6XZU2,588,2,"93-415,421-587",0.846
A0AAV6Y0Z5,573,2,"113-413,414-562",0.820
A0AAV6Y1F0,579,2,"95-419,437-573",0.850
A0AAV6Y2K4,609,2,"113-442,459-597",0.835
A0AAV6Y5F3,455,2,"16-170_327-431,180-317",0.645
A0AAV6YVT0,341,2,"19-154,155-336",0.649
A0AAV6YVU6,295,1,46-264,0.724
A0AAV7A7P3,275,1,19-217,0.657
A0AAV7AKK6,442,2,"19-219,283-436",0.652
A0AAV7AKK8,443,1,21-198_205-220,0.636
A0AAV7CMP1,520,2,"25-308_421-456,322-416",0.594
A0AAV7DG22,534,2,"34-312_433-467,324-419",0.500
A0AAV7E4A4,613,2,"120-450,467-609",0.868
A0AAV7E4W5,664,2,"160-498,533-660",0.820
A0AAV7EM17,595,3,"1-60,87-406,412-594",0.860
